FROM,TO,ITEM,TRADE,ENVIRONMENT,OTHER_POKEMON
Bulbasaur,Ivysaur,,,,
Ivysaur,Venusaur,,,,
Charmander,Charmeleon,,,,
Charmeleon,Charizard,,,,
Squirtle,Wartortle,,,,
Wartortle,Blastoise,,,,
Caterpie,Metapod,,,,
Metapod,Butterfree,,,,
Weedle,Kakuna,,,,
Kakuna,Beedrill,,,,
Pidgey,Pidgeotto,,,,
Pidgeotto,Pidgeot,,,,
Rattata,Raticate,,,,
Spearow,Fearow,,,,
Ekans,Arbok,,,,
Pikachu,Raichu,Thunder Stone,,,
Sandshrew,Sandslash,,,,
Nidoran F,Nidorina,,,,
Nidorina,Nidoqueen,Moon Stone,,,
Nidoran M,Nidorino,,,,
Nidorino,Nidoking,Moon Stone,,,
Clefairy,Clefable,Moon Stone,,,
Vulpix,Ninetales,Fire Stone,,,
Jigglypuff,Wigglytuff,Moon Stone,,,
Zubat,Golbat,,,,
Oddish,Gloom,,,,
Gloom,Vileplume,Leaf Stone,,,
Paras,Parasect,,,,
Venonat,Venomoth,,,,
Diglett,Dugtrio,,,,
Meowth,Persian,,,,
Psyduck,Golduck,,,,
Mankey,Primeape,,,,
Growlithe,Arcanine,Fire Stone,,,
Poliwag,Poliwhirl,,,,
Poliwhirl,Poliwrath,Water Stone,,,
Abra,Kadabra,,,,
Kadabra,Alakazam,,TRUE,,
Machop,Machoke,,,,
Machoke,Machamp,,TRUE,,
Bellsprout,Weepinbell,,,,
Weepinbell,Victreebel,Leaf Stone,,,
Tentacool,Tentacruel,,,,
Geodude,Graveler,,,,
Graveler,Golem,,TRUE,,
Ponyta,Rapidash,,,,
Slowpoke,Slowbro,,,,
Magnemite,Magneton,,,,
Doduo,Dodrio,,,,
Seel,Dewgong,,,,
Grimer,Muk,,,,
Shellder,Cloyster,Water Stone,,,
Gastly,Haunter,,,,
Haunter,Gengar,,TRUE,,
Drowzee,Hypno,,,,
Krabby,Kingler,,,,
Voltorb,Electrode,,,,
Exeggcute,Exeggutor,Leaf Stone,,,
Cubone,Marowak,,,,
Koffing,Weezing,,,,
Rhyhorn,Rhydon,,,,
Horsea,Seadra,,,,
Goldeen,Seaking,,,,
Staryu,Starmie,Water Stone,,,
Magikarp,Gyarados,,,,
Eevee,Vaporeon,Water Stone,,,
Eevee,Jolteon,Thunder Stone,,,
Eevee,Flareon,Fire Stone,,,
Omanyte,Omastar,,,,
Kabuto,Kabutops,,,,
Dratini,Dragonair,,,,
Dragonair,Dragonite,,,,
Chikorita,Bayleef,,,,
Bayleef,Meganium,,,,
Cyndaquil,Quilava,,,,
Quilava,Typhlosion,,,,
Totodile,Croconaw,,,,
Croconaw,Feraligatr,,,,
Sentret,Furret,,,,
Hoothoot,Noctowl,,,,
Ledyba,Ledian,,,,
Spinarak,Ariados,,,,
Golbat,Crobat,,,,
Chinchou,Lanturn,,,,
Pichu,Pikachu,,,,
Cleffa,Clefairy,,,,
Igglybuff,Jigglypuff,,,,
Togepi,Togetic,,,,
Togepi_SHADOW,Togetic_SHADOW,,,,
Natu,Xatu,,,,
Mareep,Flaaffy,,,,
Flaaffy,Ampharos,,,,
