GAME,IDX,SPECIES,FORM,GENDER,TAG
ALL,1,Bulbasaur,,,
ALL,2,Ivysaur,,,
ALL,3,Venusaur,,,
ALL,3,Venusaur,Mega,,NOTRANSFER
ALL,4,Charmander,,,
ALL,5,Charmeleon,,,
ALL,6,Charizard,,,
ALL,6,Charizard,Mega X,,NOTRANSFER
ALL,6,Charizard,Mega Y,,NOTRANSFER
ALL,7,Squirtle,,,
ALL,8,Wartortle,,,
ALL,9,Blastoise,,,
ALL,9,Blastoise,Mega,,NOTRANSFER
ALL,10,Caterpie,,,
ALL,11,Metapod,,,
ALL,12,Butterfree,,,
ALL,13,Weedle,,,
ALL,14,Kakuna,,,
ALL,15,Beedrill,,,
"OMEGARUBY,ALPHASAPPHIRE",15,Beedrill,Mega,,NOTRANSFER
ALL,16,Pidgey,,,
ALL,17,Pidgeotto,,,
ALL,18,Pidgeot,,,
"OMEGARUBY,ALPHASAPPHIRE",18,Pidgeot,Mega,,NOTRANSFER
ALL,19,Rattata,,,
ALL,20,Raticate,,,
ALL,21,Spearow,,,
ALL,22,Fearow,,,
ALL,23,Ekans,,,
ALL,24,Arbok,,,
ALL,25,Pikachu,,,
"OMEGARUBY,ALPHASAPPHIRE",25,Pikachu,Cosplay,FEMALE,
"OMEGARUBY,ALPHASAPPHIRE",25,Pikachu,Rock Star,FEMALE,
"OMEGARUBY,ALPHASAPPHIRE",25,Pikachu,Belle,FEMALE,
"OMEGARUBY,ALPHASAPPHIRE",25,Pikachu,Pop Star,FEMALE,
"OMEGARUBY,ALPHASAPPHIRE",25,Pikachu,Ph.D.,FEMALE,
"OMEGARUBY,ALPHASAPPHIRE",25,Pikachu,Libre,FEMALE,
ALL,26,Raichu,,,
ALL,27,Sandshrew,,,
ALL,28,Sandslash,,,
ALL,29,Nidoran♀,,FEMALE,
ALL,30,Nidorina,,FEMALE,
ALL,31,Nidoqueen,,FEMALE,
ALL,32,Nidoran♂,,MALE,
ALL,33,Nidorino,,MALE,
ALL,34,Nidoking,,MALE,
ALL,35,Clefairy,,,
ALL,36,Clefable,,,
ALL,37,Vulpix,,,
ALL,38,Ninetales,,,
ALL,39,Jigglypuff,,,
ALL,40,Wigglytuff,,,
ALL,41,Zubat,,,
ALL,42,Golbat,,,
ALL,43,Oddish,,,
ALL,44,Gloom,,,
ALL,45,Vileplume,,,
ALL,46,Paras,,,
ALL,47,Parasect,,,
ALL,48,Venonat,,,
ALL,49,Venomoth,,,
ALL,50,Diglett,,,
ALL,51,Dugtrio,,,
ALL,52,Meowth,,,
ALL,53,Persian,,,
ALL,54,Psyduck,,,
ALL,55,Golduck,,,
ALL,56,Mankey,,,
ALL,57,Primeape,,,
ALL,58,Growlithe,,,
ALL,59,Arcanine,,,
ALL,60,Poliwag,,,
ALL,61,Poliwhirl,,,
ALL,62,Poliwrath,,,
ALL,63,Abra,,,
ALL,64,Kadabra,,,
ALL,65,Alakazam,,,
ALL,65,Alakazam,Mega,,NOTRANSFER
ALL,66,Machop,,,
ALL,67,Machoke,,,
ALL,68,Machamp,,,
ALL,69,Bellsprout,,,
ALL,70,Weepinbell,,,
ALL,71,Victreebel,,,
ALL,72,Tentacool,,,
ALL,73,Tentacruel,,,
ALL,74,Geodude,,,
ALL,75,Graveler,,,
ALL,76,Golem,,,
ALL,77,Ponyta,,,
ALL,78,Rapidash,,,
ALL,79,Slowpoke,,,
ALL,80,Slowbro,,,
"OMEGARUBY,ALPHASAPPHIRE",80,Slowbro,Mega,,NOTRANSFER
ALL,81,Magnemite,,UNKNOWN,
ALL,82,Magneton,,UNKNOWN,
ALL,83,Farfetch'd,,,
ALL,84,Doduo,,,
ALL,85,Dodrio,,,
ALL,86,Seel,,,
ALL,87,Dewgong,,,
ALL,88,Grimer,,,
ALL,89,Muk,,,
ALL,90,Shellder,,,
ALL,91,Cloyster,,,
ALL,92,Gastly,,,
ALL,93,Haunter,,,
ALL,94,Gengar,,,
ALL,94,Gengar,Mega,,NOTRANSFER
ALL,95,Onix,,,
ALL,96,Drowzee,,,
ALL,97,Hypno,,,
ALL,98,Krabby,,,
ALL,99,Kingler,,,
ALL,100,Voltorb,,UNKNOWN,
ALL,101,Electrode,,UNKNOWN,
ALL,102,Exeggcute,,,
ALL,103,Exeggutor,,,
ALL,104,Cubone,,,
ALL,105,Marowak,,,
ALL,106,Hitmonlee,,MALE,
ALL,107,Hitmonchan,,MALE,
ALL,108,Lickitung,,,
ALL,109,Koffing,,,
ALL,110,Weezing,,,
ALL,111,Rhyhorn,,,
ALL,112,Rhydon,,,
ALL,113,Chansey,,FEMALE,
ALL,114,Tangela,,,
ALL,115,Kangaskhan,,FEMALE,
ALL,115,Kangaskhan,Mega,FEMALE,NOTRANSFER
ALL,116,Horsea,,,
ALL,117,Seadra,,,
ALL,118,Goldeen,,,
ALL,119,Seaking,,,
ALL,120,Staryu,,UNKNOWN,
ALL,121,Starmie,,UNKNOWN,
ALL,122,Mr. Mime,,,
ALL,123,Scyther,,,
ALL,124,Jynx,,FEMALE,
ALL,125,Electabuzz,,,
ALL,126,Magmar,,,
ALL,127,Pinsir,,,
ALL,127,Pinsir,Mega,,NOTRANSFER
ALL,128,Tauros,,MALE,
ALL,129,Magikarp,,,
ALL,130,Gyarados,,,
ALL,130,Gyarados,Mega,,NOTRANSFER
ALL,131,Lapras,,,
ALL,132,Ditto,,UNKNOWN,
ALL,133,Eevee,,,
ALL,134,Vaporeon,,,
ALL,135,Jolteon,,,
ALL,136,Flareon,,,
ALL,137,Porygon,,UNKNOWN,
ALL,138,Omanyte,,,
ALL,139,Omastar,,,
ALL,140,Kabuto,,,
ALL,141,Kabutops,,,
ALL,142,Aerodactyl,,,
ALL,142,Aerodactyl,Mega,,NOTRANSFER
ALL,143,Snorlax,,,
ALL,144,Articuno,,UNKNOWN,
ALL,145,Zapdos,,UNKNOWN,
ALL,146,Moltres,,UNKNOWN,
ALL,147,Dratini,,,
ALL,148,Dragonair,,,
ALL,149,Dragonite,,,
ALL,150,Mewtwo,,UNKNOWN,
ALL,150,Mewtwo,Mega X,UNKNOWN,NOTRANSFER
ALL,150,Mewtwo,Mega Y,UNKNOWN,NOTRANSFER
ALL,151,Mew,,UNKNOWN,
ALL,152,Chikorita,,,
ALL,153,Bayleef,,,
ALL,154,Meganium,,,
ALL,155,Cyndaquil,,,
ALL,156,Quilava,,,
ALL,157,Typhlosion,,,
ALL,158,Totodile,,,
