SPECIES,X,Y,OMEGARUBY,ALPHASAPPHIRE
Ivysaur,inf[$FS_Ivysaur],inf[$FS_Ivysaur],,
Charmeleon,inf[$FS_Charmeleon],inf[$FS_Charmeleon],,
Wartortle,inf[$FS_Wartortle],inf[$FS_Wartortle],,
Caterpie,inf,inf,,
Metapod,,inf,,
Butterfree,inf[$FS_Butterfree],inf[$FS_Butterfree],,
Weedle,inf,inf,,
Kakuna,inf,inf[$FS_Kakuna],,
Pidgey,inf,inf,,
Pidgeotto,,,inf,inf
Rattata,,,inf,inf
Raticate,,,inf,inf
Spearow,inf[$FS_Spearow],inf[$FS_Spearow],,
Fearow,inf,inf,,
Ekans,inf,inf,,
Arbok,inf,inf,,
Pikachu,inf,inf,inf,inf
Sandshrew,inf[$FS_Sandshrew],inf[$FS_Sandshrew],inf,inf
Sandslash,inf,inf,,
Nidoran♀,inf,inf,,
Nidorina,inf,inf,,
Nidoran♂,inf,inf,,
Nidorino,inf,inf,,
Clefairy,inf[$FS_Clefairy],inf[$FS_Clefairy],inf,inf
Vulpix,,,inf,inf
Ninetales,inf[$FS_Ninetales],inf[$FS_Ninetales],,
Jigglypuff,inf,inf,inf,inf
Zubat,inf,inf,inf,inf
Golbat,,,inf,inf
Oddish,inf,inf,inf,inf
Gloom,inf[$FS_Gloom],inf[$FS_Gloom],inf,inf
Paras,inf[$FS_Paras],inf[$FS_Paras],inf,inf
Venomoth,inf[$FS_Venomoth],inf[$FS_Venomoth],inf,inf
Diglett,,,inf,inf
Dugtrio,inf,inf,,
Persian,,,inf,inf
Psyduck,inf,inf,inf,inf
Mankey,inf[$FS_Mankey],inf[$FS_Mankey],inf,inf
Growlithe,inf[$FS_Growlithe],inf[$FS_Growlithe],inf,inf
Poliwag,inf,inf,,
Poliwhirl,inf,inf,,
Poliwrath,inf,inf,,
Abra,inf,inf,inf,inf
Machop,inf,inf,inf,inf
Machoke,inf[$FS_Machoke],inf[$FS_Machoke],,
Bellsprout,inf,inf,,
Weepinbell,inf,inf,,
Tentacool,inf,inf,inf,inf
Tentacruel,,,inf,inf
Geodude,inf,inf,inf,inf
Graveler,inf,inf,inf,inf
Ponyta,inf[$FS_Ponyta],inf[$FS_Ponyta],inf,inf
Slowpoke,inf,inf,inf,inf
Magnemite,,,inf,inf
Magneton,inf,inf,,
Farfetch'd,inf,inf,,
Doduo,inf,inf,inf,inf
Seel,,,inf,inf
Dewgong,inf[$FS_Dewgong],inf[$FS_Dewgong],inf,inf
Grimer,,,inf,inf
Muk,inf[$FS_Muk],inf[$FS_Muk],,
Shellder,,inf,,
Cloyster,inf[$FS_Cloyster],inf,,
Haunter,inf,inf,,
Onix,inf,inf,inf,inf
Drowzee,inf[$FS_Drowzee],inf[$FS_Drowzee],,
Hypno,,,inf,inf
Krabby,inf[$FS_Krabby],inf[$FS_Krabby],inf,inf
Voltorb,,,inf,inf
Electrode,inf,inf,2,2
Exeggcute,inf,inf,,
Cubone,inf,inf,,
Marowak,inf[$FS_Marowak],inf[$FS_Marowak],,
Lickitung,inf,inf,,
Koffing,,,inf,inf
Rhyhorn,inf,inf,inf,inf
Rhydon,inf[$FS_Rhydon],inf[$FS_Rhydon],,
Chansey,inf[$FS_Chansey],inf[$FS_Chansey],,
Tangela,inf[$FS_Tangela],inf[$FS_Tangela],inf,inf
Kangaskhan,inf,inf,,
Horsea,inf,inf,inf,inf
Seadra,inf,inf,inf,inf
Goldeen,inf,inf,inf,inf
Seaking,inf,inf,inf,inf
Staryu,inf,,inf,inf
Starmie,inf,,,
Mr. Mime,inf,inf,,
Scyther,inf,inf,,
Jynx,inf,inf,,
Electabuzz,inf[$FS_Electabuzz],inf[$FS_Electabuzz],,
Magmar,inf[$FS_Magmar],inf[$FS_Magmar],,
Pinsir,inf,inf[$FS_Pinsir],inf,inf
Tauros,inf,inf,,
Magikarp,inf,inf,inf,inf
Gyarados,inf,inf,inf,inf
Lapras,inf,inf,,
Ditto,inf,inf,inf,inf
Eevee,inf,inf,inf,inf
Porygon,,,inf,inf
Snorlax,1,1,,
Articuno,1[$START_CHESPIN],1[$START_CHESPIN],,
Zapdos,1[$START_FENNEKIN],1[$START_FENNEKIN],,
Moltres,1[$START_FROAKIE],1[$START_FROAKIE],,
Dratini,inf,inf,,
Dragonair,inf,inf,,
Mewtwo,1,1
Sentret,inf,inf,,
Hoothoot,inf[$FS_Hoothoot],inf[$FS_Hoothoot],,
Noctowl,inf,inf,,
Ledyba,inf,inf,,
Ariados,inf,inf,inf,inf
Chinchou,inf,inf,inf,inf
Lanturn,inf,inf,inf,inf
Togepi,inf[$FS_Togepi],inf[$FS_Togepi],,
Xatu,inf[$FS_Xatu],inf[$FS_Xatu],inf,inf
Mareep,inf,inf,,
Marill,inf,inf,inf,inf
Azumarill,inf,inf,inf,inf
Sudowoodo,inf,inf,,
Politoed,inf,inf,,
Hoppip,inf,inf,,
Aipom,inf[$FS_Aipom],inf[$FS_Aipom],inf,inf
Sunkern,inf[$FS_Sunkern],inf[$FS_Sunkern],inf,inf
Yanma,inf,inf,,
Wooper,inf[$FS_Wooper],inf[$FS_Wooper],,
Quagsire,inf,inf,,
Murkrow,inf,inf,inf,inf
Misdreavus,,,inf,inf
Unown_A,,,inf,inf
Unown_B,,,inf,inf
Unown_C,,,inf,inf
Unown_D,,,inf,inf
Unown_E,,,inf,inf
Unown_F,,,inf,inf
Unown_G,,,inf,inf
Unown_H,,,inf,inf
Unown_I,,,inf,inf
Unown_J,,,inf,inf
Unown_K,,,inf,inf
Unown_L,,,inf,inf
Unown_M,,,inf,inf
Unown_N,,,inf,inf
Unown_O,,,inf,inf
Unown_P,,,inf,inf
Unown_Q,,,inf,inf
Unown_R,,,inf,inf
Unown_S,,,inf,inf
Unown_T,,,inf,inf
Unown_U,,,inf,inf
Unown_V,,,inf,inf
Unown_W,,,inf,inf
Unown_X,,,inf,inf
Unown_Y,,,inf,inf
Unown_Z,,,inf,inf
Unown_!,,,inf,inf
Unown_?,,,inf,inf
Wobbuffet,inf,inf,inf,inf
Girafarig,inf[$FS_Girafarig],inf[$FS_Girafarig],inf,inf
Forretress,inf[$FS_Forretress],inf[$FS_Forretress],inf,inf
Dunsparce,inf,inf,,
Gligar,inf,inf,,
Snubbull,inf,inf,,
Qwilfish,inf,inf,,
Shuckle,inf,inf,,
Heracross,inf[$FS_Heracross],inf,inf,inf
Sneasel,inf,inf,,
Teddiursa,inf[$FS_Teddiursa],inf[$FS_Teddiursa],,
Ursaring,inf,inf,,
Slugma,inf,inf,inf,inf
Magcargo,inf[$FS_Magcargo],inf[$FS_Magcargo],,
Piloswine,inf,inf,,
Corsola,inf,inf,inf,inf
Remoraid,inf,inf,inf,inf
Octillery,inf,inf,inf,inf
Delibird,inf,inf,inf,inf
Mantine,,,inf,inf
Skarmory,inf,inf,inf,inf
Houndour,inf,,,
Phanpy,inf[$FS_Phanpy],inf[$FS_Phanpy],,
Donphan,,,inf,inf
Stantler,,,inf,inf
Smeargle,inf,inf,,
